Songs I Love	Artists	URI
Superheroes	The Script	Superheroes	spotify:track:5ml7wqgv2ZZ5JJ6U8ZLon9
River Flows In You - Original	Yiruma	First Love (Yiruma Piano Collection)	spotify:track:47ZWr1Nb0PUgmKgyg5JkgO
Counting Stars	OneRepublic	Native	spotify:track:6sy3LkhNFjJWlaeSMNwQ62
I Just Wanna Run	The Downtown Fiction	Best I Never Had	spotify:track:2S4CfxZG29GZWwDeMtBq2R
Jar of Hearts	Christina Perri	lovestrong.	spotify:track:0HZhYMZOcUzZKSFwPOti6m
Shining Down (feat. Matthew Santos)	Lupe Fiasco, Matthew Santos	Shining Down	spotify:track:0hkRONsyMGzkhJGc56L5v0
Go Go Gadget Flow	Lupe Fiasco	Lupe Fiasco's The Cool	spotify:track:2aLVUQS8wipdinBxqm5YBE
If I Lose Myself	OneRepublic	Native	spotify:track:7hIRQZhDjab4YgqkkkehV9
Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)	B.o.B, Eminem, Hayley Williams	B.o.B Presents: The Adventures of Bobby Ray	spotify:track:4zlS6uTUQFankHs3wpTEM1
Holiday / Boulevard of Broken Dreams	Green Day	American Idiot	spotify:track:0MsrWnxQZxPAcov7c74sSo
Never Let You Go (feat. Ryan Tedder)	B.o.B, Ryan Tedder	Strange Clouds	spotify:track:2MGHQ63oFXoBLuUmOABBWX
What Goes Around.../...Comes Around (Interlude)	Justin Timberlake	FutureSex/LoveSounds Deluxe Edition	spotify:track:4ZrEjG3Vef85NTve8ptC9Q
Apologize	OneRepublic	Dreaming Out Loud	spotify:track:1NrJYpdAi7uosDRPmSYrsG
Beautiful Lasers (2 Ways) [feat. MDMA]	Lupe Fiasco, MDMA	Lasers	spotify:track:4S93LxVPsmbcI3jJTEWkGw
Marchin On	OneRepublic	Waking Up	spotify:track:4BUtvtGTRvJB49Hx2F7lle
be my forever (feat. Ed Sheeran)	Christina Perri, Ed Sheeran	head or heart	spotify:track:7wlUU1sJ9Md89P1xgLyUGV
In Your Arms	Nico & Vinz	In Your Arms	spotify:track:2cG8MViLjQYJKpxhNlgYAR
Not Afraid	Eminem	Recovery	spotify:track:2JXlRVBgLHqhfphmjXyVBZ
Yellow Flicker Beat	Lorde	Yellow Flicker Beat (From The Hunger Games: Mockingjay Part 1)	spotify:track:0Nf53RDPZEjFrQE4B5n6Vf
burning gold	Christina Perri	head or heart	spotify:track:0n450TgdXT9BLURLyUV0qt
Goodbye	Glenn Morrison, Islove	Goodbye (feat. Islove)	spotify:track:6G5L5Jx0dBIwZZ9YsjTCOH
Ghosts	The Presets	Pacifica	spotify:track:17qyE3zCNdfOKmH3SXMwFX
Vivir Mi Vida	Marc Anthony	Vivir Mi Vida	spotify:track:3tm3GG9BBOYhUzKWlS6A74
BURN IT DOWN	Linkin Park	LIVING THINGS	spotify:track:7oVEtyuv9NBmnytsCIsY5I
Danza Kuduro	Don Omar, Lucenzo	Meet The Orphans	spotify:track:2a1o6ZejUi8U3wzzOtCOYw
Au Revoir	OneRepublic	Native	spotify:track:1p50TN8eyDm3mJHZVgcTxm
A Sky Full of Stars	Coldplay	A Sky Full of Stars	spotify:track:6HFbq7cewJ7rPiffV0ciil
Hey Brother	Avicii	True	spotify:track:4RXpgGM7A4Hg7cFBoH5KyF
Fly	Nicki Minaj, Rihanna	Pink Friday	spotify:track:6mjEABpi5cQ5gqFFOkR1Cc
Preacher	OneRepublic	Native	spotify:track:4XOVGSQjmxtSbt3pKk0Ouh
21 Guns	Green Day	21st Century Breakdown	spotify:track:64yrDBpcdwEdNY9loyEGbX
All This Time	OneRepublic	Waking Up (Deluxe)	spotify:track:48FuVo0KwE3N7Fqmc8cT4r
Come Home	OneRepublic	Dreaming Out Loud	spotify:track:0bJfgUyjfPJYqRgUxb12Eh
All Fall Down	OneRepublic	Dreaming Out Loud	spotify:track:1zjJg21AG4sXU9wzbQnQiQ
All We Are	OneRepublic	Dreaming Out Loud	spotify:track:1Jx69b09LKTuBQxkEiFfVX
The End Where I Begin	The Script	The Script	spotify:track:7DQS4VkizbhSGPO2nlHj2y
Beautiful Pain	Eminem, Sia	The Marshall Mathers LP2 (Deluxe)	spotify:track:7hiBhOh4s8G0xmGYBAjyuw
The Heart Wants What It Wants	Selena Gomez	The Heart Wants What It Wants	spotify:track:6wJwkMo278iWVlWl1XQ4WA
Let Her Go	Passenger	All The Little Lights	spotify:track:7DFNE7NO0raLIUbgzY2rzm
Things We Lost In The Fire	Bastille	All This Bad Blood	spotify:track:6qOxF7JKKNegcuocn14ukr
All of Me	John Legend	Love In The Future (Expanded Edition)	spotify:track:3U4isOIWM3VvDubwSI3y7a
Wavin' Flag - Coca-Cola® Celebration Mix	K'NAAN	Troubadour	spotify:track:02WDuAXXKumemrvsmrVBvH
How to Save a Life	The Fray	How To Save A Life	spotify:track:5fVZC9GiM4e8vu99W0Xf6J
No Love	Eminem, Lil Wayne	Recovery	spotify:track:7bHT9osSq1rwT2yaImzqCi
Young Blood	Bea Miller	Young Blood	spotify:track:14GFF1WXZENCeouhvcA2KX
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix	Robin Schulz, Jasmine Thompson	Prayer	spotify:track:4zLBcDtvYNVtF9fnG6lme3
Atlantico	Roberto Cacciapaglia	Quarto Tempo	spotify:track:4zZj11smhpOntZlP6S9xj0
The Scientist	Coldplay	A Rush of Blood to the Head	spotify:track:75JFxkI2RXiU7L9VXzMkle
Angel in Blue Jeans	Train	Angel in Blue Jeans	spotify:track:2OpY5KKUvkYAkiY8FEG1Wi
Bed Of Lies	Nicki Minaj, Skylar Grey	Bed Of Lies	spotify:track:70WYUK1HKXHfwoDexKQHvd
Do I Wanna Know?	Arctic Monkeys	AM	spotify:track:3jfr0TF6DQcOLat8gGn7E2
Prelude For Time Feelers	Eluvium	Copia	spotify:track:74K5lZTuJa2w87IPTzxKaz
The Show Goes On	Lupe Fiasco	Lasers	spotify:track:4NTWZqvfQTlOMitlVn6tew
Never Say Never	The Fray	The Fray	spotify:track:57uX2vR9j9DNiANDYfXw1i
You Found Me	The Fray	The Fray	spotify:track:4IoYz8XqqdowINzfRrFnhi
All of Me	Jasmine Thompson	Another Bundle of Tantrums	spotify:track:2vE8eixhjxuOTcK8tVLJ7c
I've Gotta Be Me	Ryan Tedder, Contraband	I've Gotta Be Me	spotify:track:2CzAp5x08qdfnK5zuMhHQs
Never Seen Anything "Quite Like You"	The Script	No Sound Without Silence	spotify:track:71qNRlNDnPahvATE7Zl4Nw
Flares	The Script	No Sound Without Silence	spotify:track:3mTEYjm3kIm4YzJ5zxJZjs
Is This All	Van Ness Wu, Ryan Tedder	C'est La "V"	spotify:track:2JMWj3mh5mTA1ADOTiyRpS
Something Big	Shawn Mendes	Something Big	spotify:track:5f0WLQquCf955JPSnt7JvR
Lost Generation	Big K.R.I.T., Lupe Fiasco	Cadillactica (Deluxe)	spotify:track:1pTkYdpzo8KPpHFFkI9xLA
Won't Stop	OneRepublic	Dreaming Out Loud	spotify:track:5ZEY2HUEstaLlhxGoWmzCE
Walk Away (feat. B.o.B)	The Script, B.o.B	Science & Faith	spotify:track:007YzRKaY8AP8kZhzjDoUM
Science & Faith	The Script	Science & Faith	spotify:track:5NvEVTdjIlh4zx5ZseaZCI
Open Your Eyes (Deep Blue Songspell)	Bea Miller	Open Your Eyes (Deep Blue Songspell)	spotify:track:5yMw5BFXdKtbrSSUk1Qroi
Headphones	Matt Nathanson, LOLO	Headphones	spotify:track:487En8Tg4r6Na9wSOWyMEZ
CASTLE OF GLASS	Linkin Park	LIVING THINGS	spotify:track:1r1fPuhj9H4VdXr7OK6FL5
Numb	Linkin Park	Meteora (Bonus Edition)	spotify:track:0kO3njY9N1Rxgv27Ha1lLh
Sun Goes Down - Acoustic Version	Jasmine Thompson	Take Cover	spotify:track:6nYHvWaevxhm6AwX8QsvlU
Laughter Lines	Bastille	All This Bad Blood	spotify:track:3D8BHRb8r4tE494LrtXffE
Follow Your Arrow	Kacey Musgraves	Same Trailer Different Park	spotify:track:4CLPNURPcKztF9RRdcWLGP
Merry Go 'Round	Kacey Musgraves	Same Trailer Different Park	spotify:track:5UDqWOgDdixYMAgAyNbpgh
Team	Lorde	Team	spotify:track:4SGPZVMQoFWSh2yvbThK2o
Remission (feat. Jennifer Hudson & Common)	Lupe Fiasco, Common, Jennifer Hudson	Remission (feat. Jennifer Hudson & Common)	spotify:track:7E58Pj6CClu9m2YycRgISe
Unforgivable Youth (feat. Jason Evigan)	Lupe Fiasco, Jason Evigan	Food & Liquor II: The Great American Rap Album, Pt. 1	spotify:track:6L4gedEcOILuA2nMUNC7Vt
Battle Scars	Lupe Fiasco, Guy Sebastian	Food & Liquor II: The Great American Rap Album, Pt. 1	spotify:track:1hWYT0w2R0J19rlVkiez7X
A Little Too Not Over You	David Archuleta	David Archuleta	spotify:track:10QsFPJ3owUxJKe0fzA1A2
The Instrumental (feat. Jonah Matranga)	Lupe Fiasco, Jonah Matranga	Lupe Fiasco's Food & Liquor	spotify:track:1gsnHGopfdevZt7gbmygOq
All The Right Moves	OneRepublic	Waking Up	spotify:track:5XRHGXut00SrJUFmcn2lQF
Good Life	OneRepublic	Waking Up	spotify:track:6OtCIsQZ64Vs1EbzztvAv4
Waking Up	OneRepublic	Waking Up	spotify:track:1GQO5U0Sx74BUoH1faCUWC
Secrets	OneRepublic	Waking Up	spotify:track:1NhPKVLsHhFUHIOZ32QnS2
Bless The Broken Road	Rascal Flatts	Feels Like Today	spotify:track:4YjjNHtEsTX6Af4mCTupT5
Mad World	Jasmine Thompson	Another Bundle of Tantrums	spotify:track:5v4h7WjgIqPzcSR1dhpegh
No Good in Goodbye	The Script	No Sound Without Silence	spotify:track:0Dv4DdNy1xnhNcCd9YVoiH
The Energy Never Dies	The Script	No Sound Without Silence	spotify:track:5W2FRXOq70ADDROFMvWky8
Thinking out Loud	Ed Sheeran	x (Deluxe Edition)	spotify:track:34gCuhDGsG4bRPIf9bb02f
Who We Are	Tristan Prettyman	Back to Home	spotify:track:6XCPQygbj33s7OUxlbo6bX
Bleeding Out	Imagine Dragons	Night Visions (Deluxe)	spotify:track:2auTfKFcoQd7z2uFCeuaww
I'm Yours	The Script	The Script	spotify:track:6R9Hr8YQs2fKjOG7TdWDsg
Enough for Now	The Fray	The Fray	spotify:track:4esR3WJ3pwNYGYmwDaBow0
Keep On Wanting	The Fray	Helios	spotify:track:1CREYYq1k6c2JTo2WeFF4o
Prayer in C - Robin Schulz Radio Edit	Lilly Wood and The Prick, Robin Schulz	Prayer	spotify:track:7cQw68C5DPirUJRzy3fOnN
My Heart Is Open	Maroon 5, Gwen Stefani	V	spotify:track:6l5AAEJhBR9Zku6qgI9Fo2
Glory (From the Motion Picture Selma)	Common, John Legend	Glory (From the Motion Picture Selma)	spotify:track:2fmqPLRFdJNPhLU3b2NSFp
All at Once	The Fray	How To Save A Life	spotify:track:40NUp6VJswDOlGp63Pxybe
Angels	Joshua Radin	Onward and Sideways	spotify:track:3snm9mUBIbySHnqwMZkPgx
Ungodly Hour	The Fray	The Fray	spotify:track:6V2SKZhymLim16ri8A7K6h
Passenger	OneRepublic	Waking Up (Deluxe)	spotify:track:3LzDGNWo1EuIN1bW2RTw2x
Primadonna	MARINA	Electra Heart (Deluxe)	spotify:track:5tFMuAw6X2R4NLx97g7n9q
I'm a Ruin	MARINA	I'm a Ruin	spotify:track:5pOzroelnE4idr6EcHOynD
If Today Was Your Last Day	Nickelback	Dark Horse	spotify:track:4QJLKU75Rg4558f4LbDBRi
Just A Dream	Nelly	5.0	spotify:track:3ZdJffjzJWFimSQyxgGIxN
Never Be Alone	Shawn Mendes	Never Be Alone	spotify:track:2K4qtTAE8fjFaIUBFTuj1a
Happy	MARINA	Happy	spotify:track:0fwDfxTGB0Q7LQZkviQVDl
Willow	Jasmine Thompson	Under the Willow Tree	spotify:track:2PeQP3wjJ0ogwbUr1X6tU1
Fire	Gavin DeGraw	Fire	spotify:track:4DJZTapBDzc9UOpB0uv1tG
Bulletproof Picasso	Train	Bulletproof Picasso	spotify:track:5lV5h6gXFWmfOtMv7Q6Q6n
Lose Yourself - Soundtrack Version	Eminem	Lose Yourself	spotify:track:6atDVsk39X4LS1C3hdgX5l
Nothing Really Matters	Mr. Probz	Nothing Really Matters	spotify:track:7fWSIddv6LJG8ZXJFNVQyi
Uma Thurman	Fall Out Boy	American Beauty/American Psycho	spotify:track:5PUawWFG1oIS2NwEcyHaCr
I Want You To Know	Zedd, Selena Gomez	I Want You To Know	spotify:track:6izhPbUU3CeMYvTT74YHnb
One Man Can Change The World	Big Sean, Kanye West, John Legend	Dark Sky Paradise (Deluxe)	spotify:track:2wyHiXes5gsguT8mwYofbC
Fear and Loathing	MARINA	Electra Heart (Deluxe)	spotify:track:26jxcJ2O89Zfm5vneRzoVF
Riding To New York	Passenger	Whispers (Deluxe)	spotify:track:0yVsB7VhYZ0lIAfGU30TWk
Riptide	Vance Joy	Dream Your Life Away	spotify:track:7yq4Qj7cqayVTp3FF9CWbm
Oh No!	MARINA	The Family Jewels (Deluxe)	spotify:track:0VVNXqaDwfHngG2gXaOtlI
Uprising	Muse	The Resistance	spotify:track:4VqPOruhp5EdPBeR92t6lQ
What Child Is This	David Archuleta	Christmas From The Heart	spotify:track:62MVZaKdyMlkCtohEKjwKe
Set Fire to the Rain	Adele	21	spotify:track:3CKCZ9pfwAfoMZlMncA1Nc
Lighters	Bad Meets Evil, Bruno Mars	Hell: The Sequel (Deluxe)	spotify:track:5zpDHEU12zATwLGvozxPw2
The One	Kodaline	The One	spotify:track:2Hx6AziCjGVjCRKuaTIxLA
The Outsider	MARINA	The Family Jewels (Deluxe)	spotify:track:0HoGBNeSbGXwrI2OR6N7WC
Kids In The Dark	All Time Low	Kids In The Dark	spotify:track:1EoJh1bswhlUpfzvEI7W6y
Forget	MARINA	Forget	spotify:track:6UwBEqbTO9bSXCx5JVRw2n
If You Could See Me Now	The Script	#3	spotify:track:4VTL9bM6qaSTsYGVianqzr
By The Grace Of God	Katy Perry	PRISM (Deluxe)	spotify:track:2IRK3qdY6BzbKxKr8eBk8o
Hey, Soul Sister	Train	Save Me, San Francisco	spotify:track:24YvUQnuPL8gObCfSnAobH
Summertime Sadness	Lana Del Rey	Born To Die - The Paradise Edition	spotify:track:2dBwB667LHQkLhdYlwLUZK
Over My Head (Cable Car)	The Fray	How To Save A Life	spotify:track:1N62wozuHCvczCkY4QidpP
Letting Go (feat. Sarah Green)	Lupe Fiasco, Sarah Green	Lasers	spotify:track:61o1yp5QGkMhgM6rivMJ0v
Hall of Fame (feat. will.i.am)	The Script, will.i.am	#3	spotify:track:1X1DWw2pcNZ8zSub3uhlNz
Stop And Stare	OneRepublic	Dreaming Out Loud	spotify:track:48s0QHJgmiNsth3WEO6U4M
Feel Again	OneRepublic	Native	spotify:track:75hLNJfiXV5k2YGrbGEW51
Free Chilly (feat. Sarah Green & GemStones) - Interlude	Lupe Fiasco, Gemstones, Sarah Green	Lupe Fiasco's The Cool	spotify:track:3VkAjkB2HYkXyrCqj3ZG3m
A Little More	Machine Gun Kelly, Victoria Monét	A Little More	spotify:track:5wPphxKvFY0IbwNU5dhYhB
My Life	Slaughterhouse, CeeLo Green	My Life	spotify:track:1Y9VSn3VAOulS3MmUHPPcb
Something's Gotta Give	All Time Low	Something's Gotta Give	spotify:track:0BMGyqvrjuJExY6jcVAtX2
Renegades	X Ambassadors	Renegades	spotify:track:3wLfy6C6qhOxHpU64YYKGz
Patient Love	Passenger	All the Little Lights	spotify:track:5c8c7LbnfeudIhLt9BF6Lm
This Is How We Roll	Florida Georgia Line, Luke Bryan	Here's To The Good Times...This Is How We Roll	spotify:track:2TR7A4ulH9R1PNwMyd8o8U
Words I Never Said (feat. Skylar Grey)	Lupe Fiasco, Skylar Grey	Lasers	spotify:track:7DoztWwHdttU17kwzKChLc
Numb / Encore	JAY-Z, Linkin Park	Collision Course (Deluxe Version)	spotify:track:7dyluIqv7QYVTXXZiMWPHW
Best Friend	Yelawolf, Eminem	Best Friend	spotify:track:05M16OdD4MsaC19Cc2A6LL
Mowgli's Road	MARINA	The Family Jewels (Deluxe)	spotify:track:1BGwYa9aK1rDp3qLqbbbHb
Take Your Time	Sam Hunt	Montevallo	spotify:track:6DEaND0SHv3sC11xobZLiy
Show Me What I'm Looking For	Carolina Liar	Coming To Terms	spotify:track:2h8iXIwEdEnQywhFC4q5e5
Old Scars / Future Hearts	All Time Low	Future Hearts	spotify:track:5kjKiLCznooPWDQQGwuxo9
Of These Chains	Red	of Beauty and Rage	spotify:track:0j7vsZifULuuYwbjZolMAN
Are You Satisfied?	MARINA	The Family Jewels (Deluxe)	spotify:track:4fBccEs6Ao7Dy8jJSrFjms
All the Little Lights	Passenger	All the Little Lights	spotify:track:1Sb0F7I9bGa4VfPbgm0BoL
Tears Fall	Jacquie	Tears Fall	spotify:track:7AwywoYsLhJNxxAcEZzQML
Photograph	Ed Sheeran	x (Deluxe Edition)	spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
Adore - Acoustic Version	Jasmine Thompson	Adore	spotify:track:7pPz728tZVIFWSfsvyLbUE
La Da Dee	Cody Simpson	Surfers Paradise	spotify:track:6f3Kn4QtwZPU2IvwwDSbLF
Goodbye, Apathy	OneRepublic	Dreaming Out Loud	spotify:track:78wnWRrd97aaheZBz16K2H
Somewhere In My Car	Keith Urban	Somewhere In My Car	spotify:track:3MFV4DgrAOXz6KURPQxRj9
Wait	NF	Mansion	spotify:track:3DfIQJULYY97h8mUtzewve
Fight Song	Rachel Platten	Fight Song - EP	spotify:track:6bRbeEgg8v8BQ0HuVuPE7v
Obsessions	MARINA	The Family Jewels	spotify:track:0X3VdkebZGTuL9sMOMoyHy
Watch Me Rise	Mikky Ekko	Time (Spotify Exclusive)	spotify:track:3UEM6JwE7AQ2mi2TXegfRZ
Working It Out - Apollo Edition Version	James Blunt	Moon Landing (Special Apollo Edition)	spotify:track:0dIi5kmxSjpaRiAQrCfJYN
Our Last Days	The Fray	Helios	spotify:track:6xphDvC3ctr99cgNFKErB4
Bonfire Heart	James Blunt	Moon Landing	spotify:track:6H2NtlZr110yO3uwphiTKk
When I Find Love Again - Apollo Edition Version	James Blunt	Smoke Signals EP	spotify:track:1NBO7Zi2gy6UovWHe6A1m1
The Only One	James Blunt	Moon Landing	spotify:track:3wLIjxgviQ217OJD1kSDBA
Postcards	James Blunt	Moon Landing	spotify:track:1NjO5wvoY6TKhbHyNFFx7M
She Is	The Fray	How To Save A Life	spotify:track:5Re8AyLirdL9F5VeLI8JzN
